Index,C,Accuracy,Fold,Score
,0.001,,1.0,0.175
,0.001,,2.0,0.17088607594936708
,0.001,,3.0,0.17088607594936708
,0.001,,4.0,0.17088607594936708
,0.001,,5.0,0.17088607594936708
,0.01,,1.0,0.51875
,0.01,,2.0,0.5316455696202531
,0.01,,3.0,0.5253164556962026
,0.01,,4.0,0.5253164556962026
,0.01,,5.0,0.5253164556962026
,0.1,,1.0,0.78125
,0.1,,2.0,0.7784810126582279
,0.1,,3.0,0.879746835443038
,0.1,,4.0,0.8607594936708861
,0.1,,5.0,0.8354430379746836
,1.0,,1.0,0.8625
,1.0,,2.0,0.8670886075949367
,1.0,,3.0,0.8987341772151899
,1.0,,4.0,0.9493670886075949
,1.0,,5.0,0.8924050632911392
,10.0,,1.0,0.86875
,10.0,,2.0,0.8670886075949367
,10.0,,3.0,0.9050632911392406
,10.0,,4.0,0.9367088607594937
,10.0,,5.0,0.879746835443038
,100.0,,1.0,0.88125
,100.0,,2.0,0.8860759493670886
,100.0,,3.0,0.8987341772151899
,100.0,,4.0,0.9177215189873418
,100.0,,5.0,0.879746835443038
,1000.0,,1.0,0.85
,1000.0,,2.0,0.8734177215189873
,1000.0,,3.0,0.9050632911392406
,1000.0,,4.0,0.9050632911392406
,1000.0,,5.0,0.8924050632911392
,10000.0,,1.0,0.825
,10000.0,,2.0,0.879746835443038
,10000.0,,3.0,0.8987341772151899
,10000.0,,4.0,0.8924050632911392
,10000.0,,5.0,0.8670886075949367
