,loss,val_loss,intermediate_dim,latent_dim,learning_rate,batch_size,epochs
0,11339.640674132277,12697.311456088362,0,50,0.0005,150,75
1,10594.973397913422,10492.44489998653,0,50,0.0005,150,75
2,10334.880963722599,10251.124073949353,0,50,0.0005,150,75
3,10227.385231679744,10167.304620150862,0,50,0.0005,150,75
4,10161.237274740208,10109.321305899784,0,50,0.0005,150,75
5,10119.359606155665,10084.6783320986,0,50,0.0005,150,75
6,10089.90421919921,10067.09130859375,0,50,0.0005,150,75
7,10067.279924832295,10044.656620420259,0,50,0.0005,150,75
8,10047.577621979066,10029.787471376616,0,50,0.0005,150,75
9,10033.982766736794,10025.397528286638,0,50,0.0005,150,75
10,10022.397963958434,10012.427835398707,0,50,0.0005,150,75
11,10012.426841571334,10008.990933122306,0,50,0.0005,150,75
12,10006.221748472688,10017.90966796875,0,50,0.0005,150,75
13,10000.541227595682,9983.592992322197,0,50,0.0005,150,75
14,9994.825327735685,9974.733179552803,0,50,0.0005,150,75
15,9989.098770382876,9969.75634765625,0,50,0.0005,150,75
16,9984.864713572862,9968.161267510775,0,50,0.0005,150,75
17,9980.141796219903,9981.498189991918,0,50,0.0005,150,75
18,9976.206512787494,10000.79014850485,0,50,0.0005,150,75
19,9974.303135387967,9962.816448343212,0,50,0.0005,150,75
20,9970.523414571604,9961.511137863685,0,50,0.0005,150,75
21,9967.024510923275,9958.547430630388,0,50,0.0005,150,75
22,9964.388839392668,9954.398142847522,0,50,0.0005,150,75
23,9962.355477640602,9946.667084792565,0,50,0.0005,150,75
24,9959.350560669473,9965.193443561422,0,50,0.0005,150,75
25,9957.498389865088,9948.195405105065,0,50,0.0005,150,75
26,9956.11448054549,9954.864906047953,0,50,0.0005,150,75
27,9952.916019368411,9938.811877020475,0,50,0.0005,150,75
28,9951.323460241225,9937.495293978987,0,50,0.0005,150,75
29,9951.06080657418,9984.120571794181,0,50,0.0005,150,75
30,9948.365823962326,9934.657689587822,0,50,0.0005,150,75
31,9947.047812724604,9937.124612742457,0,50,0.0005,150,75
32,9945.204083781295,9939.264227505388,0,50,0.0005,150,75
33,9944.52882380136,9934.133831155712,0,50,0.0005,150,75
34,9943.229917532643,9953.045957367996,0,50,0.0005,150,75
35,9941.403625868472,9947.768950363685,0,50,0.0005,150,75
36,9941.195034083763,9933.021509630928,0,50,0.0005,150,75
37,9939.550114454809,9926.575481546337,0,50,0.0005,150,75
38,9939.266286647999,9926.955692685884,0,50,0.0005,150,75
39,9939.127826743681,9928.94422649515,0,50,0.0005,150,75
40,9937.597797095861,9929.214641702587,0,50,0.0005,150,75
41,9936.138980706457,9922.92003131735,0,50,0.0005,150,75
42,9936.789388176809,9926.470686287716,0,50,0.0005,150,75
43,9934.798120620208,9928.193687702047,0,50,0.0005,150,75
44,9934.494682951756,9922.714473329741,0,50,0.0005,150,75
45,9933.140687234218,9923.022595635775,0,50,0.0005,150,75
46,9932.86425640872,9921.841636920797,0,50,0.0005,150,75
47,9932.178077365088,9917.590424636315,0,50,0.0005,150,75
48,9931.589833455619,9934.123147898707,0,50,0.0005,150,75
49,9931.618605785068,9926.74861092403,0,50,0.0005,150,75
50,9931.563928111524,9916.830372777478,0,50,0.0005,150,75
51,9930.694988226971,9915.707679485453,0,50,0.0005,150,75
52,9930.626312065764,9918.695859711746,0,50,0.0005,150,75
53,9929.337873779648,9919.726166823815,0,50,0.0005,150,75
54,9928.947282470352,9915.504428205819,0,50,0.0005,150,75
55,9928.669933573161,9923.647620891703,0,50,0.0005,150,75
56,9928.919512439357,9917.637324892241,0,50,0.0005,150,75
57,9927.913507071304,9922.436018318966,0,50,0.0005,150,75
58,9927.379975461938,9918.433139143319,0,50,0.0005,150,75
59,9927.680813331037,9918.535551926185,0,50,0.0005,150,75
60,9927.606779879912,9913.822998046875,0,50,0.0005,150,75
61,9927.018883171868,9926.053517308728,0,50,0.0005,150,75
62,9926.47507964108,9916.687297952587,0,50,0.0005,150,75
63,9927.110415200497,9914.92893824084,0,50,0.0005,150,75
64,9927.278959032103,9922.739299905712,0,50,0.0005,150,75
65,9926.5291836368,9915.972984577047,0,50,0.0005,150,75
66,9926.295650436481,9914.617658943966,0,50,0.0005,150,75
67,9925.451231301658,9913.28016399515,0,50,0.0005,150,75
68,9925.246734809236,9914.486765894397,0,50,0.0005,150,75
69,9925.741658743113,9929.94760237069,0,50,0.0005,150,75
70,9925.604659237242,9919.06373754041,0,50,0.0005,150,75
71,9925.49963501737,9912.175284550107,0,50,0.0005,150,75
72,9925.551680604636,9918.626936287716,0,50,0.0005,150,75
73,9925.311915559865,9913.457334321121,0,50,0.0005,150,75
74,9924.649851105803,9912.313316608297,0,50,0.0005,150,75
